R,Nome,Squadra
A,RONALDO,Juventus
A,MURIEL,Atalanta
A,IMMOBILE,Lazio
A,VLAHOVIC,Fiorentina
A,ZAPATA D.,Atalanta
A,IBRAHIMOVIC,Milan
A,INSIGNE,Napoli
C,MKHITARYAN,Roma
A,MARTINEZ L.,Inter
A,OSIMHEN,Napoli
A,BELOTTI,Torino
A,DZEKO,Inter
A,BERARDI,Sassuolo
C,CHIESA,Juventus
A,ABRAHAM,Roma
A,JOAO PEDRO,Cagliari
C,KESSIE',Milan
A,DYBALA,Juventus
A,CAPUTO,Sassuolo
C,MALINOVSKYI,Atalanta
C,MILINKOVIC-SAVIC,Lazio
C,VERETOUT,Roma
A,ARNAUTOVIC,Bologna
D,GOSENS,Atalanta
C,LUIS ALBERTO,Lazio
C,ZIELINSKI,Napoli
A,LOZANO,Napoli
A,MERTENS,Napoli
A,REBIC,Milan
C,PELLEGRINI LO.,Roma
A,SANCHEZ,Inter
A,MORATA,Juventus
A,QUAGLIARELLA,Sampdoria
C,CALHANOGLU,Inter
A,ILICIC,Atalanta
D,HERNANDEZ T.,Milan
C,ZACCAGNI,Verona
A,DESTRO,Genoa
A,CORREA,Lazio
A,GIROUD,Milan
A,MAYORAL,Roma
A,NZOLA,Spezia
D,CUADRADO,Juventus
C,SORIANO,Bologna
C,BARELLA,Inter
C,KULUSEVSKI,Juventus
A,POLITANO,Napoli
C,PASALIC,Atalanta
C,ORSOLINI,Bologna
C,ZANIOLO,Roma
C,CANDREVA,Sampdoria
C,PEREYRA,Udinese
A,PAVOLETTI,Cagliari
A,SIMY,Salernitana
P,HANDANOVIC,Inter
C,BARAK,Verona
A,BARROW,Bologna
A,BOGA,Sassuolo
A,RASPADORI,Sassuolo
P,MUSSO,Atalanta
P,SZCZESNY,Juventus
D,SKRINIAR,Inter
C,FELIPE ANDERSON,Lazio
C,RUIZ,Napoli
C,DJURICIC,Sassuolo
C,LOCATELLI,Juventus
A,GONZALEZ N.,Fiorentina
A,SHOMURODOV,Roma
P,MAIGNAN,Milan
C,FREULER,Atalanta
C,MIRANCHUK,Atalanta
C,MCKENNIE,Juventus
C,TRAORE' HJ.,Sassuolo
C,LAZOVIC,Verona
A,GABBIADINI,Sampdoria
A,SANABRIA,Torino
P,REINA,Lazio
P,MERET,Napoli
P,RUI PATRICIO,Roma
D,DE VRIJ,Inter
D,DANILO,Juventus
D,MANCINI,Roma
D,FARAONI,Verona
C,PESSINA,Atalanta
C,CASTROVILLI,Fiorentina
C,BROZOVIC,Inter
C,DIAZ B.,Milan
C,DAMSGAARD,Sampdoria
A,CAICEDO,Lazio
A,RAFAEL LEAO,Milan
A,SCAMACCA,Sassuolo
A,GYASI,Spezia
A,VERDE,Spezia
A,CUTRONE,Empoli
D,HATEBOER,Atalanta
D,SPINAZZOLA,Roma
C,PERISIC,Inter
C,MAGGIORE,Spezia
A,LAMMERS,Atalanta
A,PICCOLI,Atalanta
A,SIMEONE,Cagliari
A,MANCUSO,Empoli
A,PUSSETTO,Udinese
P,AUDERO,Sampdoria
P,CONSIGLI,Sassuolo
D,BONUCCI,Juventus
D,DE LIGT,Juventus
D,ACERBI,Lazio
D,CALABRIA,Milan
D,KJAER,Milan
D,TOMORI,Milan
D,KOULIBALY,Napoli
D,KARSDORP,Roma
D,BREMER,Torino
D,MOLINA N.,Udinese
D,DUMFRIES,Inter
C,SVANBERG,Bologna
C,MARIN,Cagliari
C,NANDEZ,Cagliari
A,DEFREL,Sassuolo
A,DEULOFEU,Udinese
A,OKAKA,Udinese
A,LASAGNA,Verona
A,PEDRO,Lazio
A,HENRY,Venezia
D,MILENKOVIC,Fiorentina
D,BASTONI,Inter
D,ALEX SANDRO,Juventus
D,LAZZARI,Lazio
D,DI LORENZO,Napoli
D,ANSALDI,Torino
C,DE ROON,Atalanta
C,STROOTMAN,Cagliari
C,BAJRAMI,Empoli
C,BONAVENTURA,Fiorentina
C,SAELEMAEKERS,Milan
C,VERDI,Torino
A,PETAGNA,Napoli
A,EL SHAARAWY,Roma
A,ZAZA,Torino
A,PANDEV,Genoa
P,CRAGNO,Cagliari
P,DRAGOWSKI,Fiorentina
P,SILVESTRI,Udinese
D,DJIMSITI,Atalanta
D,TOMIYASU,Bologna
D,SMALLING,Roma
D,FERRARI G.,Sassuolo
D,CHIELLINI,Juventus
C,VIGNATO,Bologna
C,VIDAL,Inter
C,BENTANCUR,Juventus
C,DEMME,Napoli
C,MANDRAGORA,Torino
C,ARAMU,Venezia
A,SANSONE,Bologna
A,CAPRARI,Sampdoria
