HANDANOVIC,Inter,P,90.25
SZCZESNY,Juventus,P,78.5
MERET,Napoli,P,73.75
MAIGNAN,Milan,P,72.25
SIRIGU,Genoa,P,72.0
MUSSO,Atalanta,P,69.0
AUDERO,Sampdoria,P,67.0
SILVESTRI,Udinese,P,65.5
STRAKOSHA,Lazio,P,65.25
OSPINA,Napoli,P,64.25
PATRICIO RUI,Roma,P,63.0
DRAGOWSKI,Fiorentina,P,62.5
MILINKOVIC-SAVIC V.,Torino,P,62.0
CRAGNO,Cagliari,P,61.5
SKORUPSKI,Bologna,P,61.0
CONSIGLI,Sassuolo,P,60.75
SPORTIELLO,Atalanta,P,60.75
PERIN,Juventus,P,59.5
MONTIPÒ LORENZO,Verona,P,59.0
PROVEDEL,Spezia,P,58.0
BRIGNOLI,Empoli,P,55.0
RADU I.,Inter,P,55.0
LEZZERINI,Venezia,P,54.75
VICARIO,Empoli,P,54.75
BELEC,Salernitana,P,54.0
REINA,Lazio,P,53.5
BERISHA,Torino,P,52.25
TATARUSANU,Milan,P,52.0
PEGOLO,Sassuolo,P,50.0
SCUFFET,Udinese,P,49.25
TERRACCIANO,Fiorentina,P,48.0
FURLAN,Empoli,P,47.75
ROSSI F.,Atalanta,P,47.5
OLSEN ROBIN,Roma,P,47.0
ZOET,Spezia,P,46.75
FIORILLO,Salernitana,P,46.25
PADELLI,Udinese,P,46.25
ROSATI,Fiorentina,P,45.75
RADUNOVIC,Cagliari,P,45.25
FUZATO,Roma,P,44.75
CORDAZ,Inter,P,44.5
BRAZAO GABRIEL,Inter,P,44.25
PANDUR,Verona,P,44.0
SEMPER,Genoa,P,43.75
ANDRENACCI,Genoa,P,43.5
PINSOGLIO,Juventus,P,43.25
GUERRIERI GUIDO,Salernitana,P,42.75
MAENPAA,Venezia,P,42.5
ARESTI,Cagliari,P,41.75
RAVAGLIA,Sampdoria,P,41.0
BERARDI A.,Verona,P,40.5
BARDI,Bologna,P,38.25
KRAPIKAS,Spezia,P,35.5
SATALINO,Sassuolo,P,34.25
SARR M.,Bologna,P,33.5
MARCHETTI,Genoa,P,32.0
